LiDAR,PointCloud,Centroid_x,Centroid_y,Centroid_z
233,15_31_54_1707424390.7249,7.96322,-13.3879,0.111555
233,15_31_54_1707424391.6727,7.93741,-13.3487,-0.00163596
233,15_31_54_1707424396.4725,8.1512,-13.1528,0.0972289
233,15_31_54_1707424462.4723,8.96647,-14.7064,0.143122
233,15_31_54_1707424463.7213,8.9026,-15.5064,0.272735
233,15_31_54_1707424525.7621,9.97277,-11.2497,0.0934416
233,15_31_54_1707424549.2725,8.19408,-4.1415,-0.0113602
233,15_31_54_1707424551.6725,7.29298,-5.08884,-0.825312
233,15_31_54_1707424580.8798,5.51134,-10.3615,-2.34804
234,15_31_54_1707424390.7917,19.0045,-14.1183,-2.75227
234,15_31_54_1707424391.5914,19.0381,-14.1431,-3.13782
234,15_31_54_1707424396.3913,18.8137,-14.3462,-2.76252
234,15_31_54_1707424462.3912,17.8537,-12.9018,-3.10866
234,15_31_54_1707424463.9917,17.7395,-11.9615,-3.01255
234,15_31_54_1707424525.7563,17.4502,-16.4766,-3.35925
234,15_31_54_1707424549.5918,20.3431,-23.3673,-2.51889
234,15_31_54_1707424551.5923,21.1001,-22.6169,-3.66605
234,15_31_54_1707424580.7931,22.1575,-16.0187,-2.98284
